그룹,4개사,11개사,N,회사,year,month,반기,분기,계정,항목,매출액_합계,국내_매출액,해외_매출액,해외_매출액_Million_USD,매출총이익,판매관리비,영업이익,영업이익률,기타영업손익_합계,기타영업손익_환관련실현손익,기타영업손익_환관련평가손익,기타영업손익_자산처분손익,기타영업손익_기타,조정영업이익,영업외손익_합계,영업외손익_순지급이자,영업외손익_환관련실현손익,영업외손익_환관련평가손익,영업외손익_지분법손익,영업외손익_자산처분손익,영업외손익_기타,세전이익,검증,세전이익률,법인세,중단사업손익,당기순이익,영업이익_이자보상배율,수입이자,지급이자,EBITDA,환율(원/달러),동가(달러/톤),금리,유동자산_합계,유동자산_현/예금,유동자산_재고자산,유동자산_매출채권,유동자산_   (미청구공사),유동자산_기타유동자산,비유동자산_합계,비유동자산_투자자산,비유동자산_유형자산,비유동자산_무형자산,비유동자산_기타비유동자산,자산_합계,부채_합계,부채_매입채무,부채_차입금,부채_기타부채,자기자본_합계,자기자본_자본금,자기자본_자본잉여금,자기자본_기타자본구성요소,자기자본_기타포괄손익누계액,자기자본_이익잉여금,관리지표_부채비율(%),관리지표_운전자산회전일,관리지표_재고회전일,관리지표_차입금비율(%),관리지표_채권회전일,차입금구분기표_Usance,차입금구분기표_CP,차입금구분기표_기타장기차입,차입금구분기표_차입금소계
Y,N,Y,N,E1,2022,1,상반기,1분기,IS(별도),계획,"424,764,047,573","198,095,123,215","226,668,924,358",,"21,129,749,079","14,830,707,501","6,299,041,578",1.48,"2,908,118,004",,,,"2,908,118,004","9,207,159,582","-1,440,060,926","-1,440,060,926",,,,,,"7,767,098,656",,1.83,"1,879,637,875",,"5,887,460,781",3.29,"475,249,030","1,915,309,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,1,상반기,1분기,IS(별도),실적,"575,754,151,246","345,508,311,215","230,245,840,031","192,834,096.90","42,644,988,542","10,445,158,225","32,199,830,317",5.59,"6,688,248,986","-1,818,190,433","-5,791,019,917","-54,348,245","14,351,807,581","38,888,079,303","-863,540,528","-1,354,640,528",,,,,"491,100,000","38,024,538,775","38,024,538,775",6.6,"321,325",,"38,024,217,450",16.39,"609,569,141","1,964,209,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,2,상반기,1분기,IS(별도),계획,"397,446,118,302","175,216,853,660","222,229,264,642",,"18,907,409,420","10,219,882,254","8,687,527,167",2.19,"3,519,596,819",,,,"3,519,596,819","12,207,123,986","-1,529,030,282","-1,529,030,282",,,,,,"10,678,093,704",,2.69,"2,584,098,676",,"8,093,995,028",4.34,"473,033,017","2,002,063,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,2,상반기,1분기,IS(별도),실적,"509,768,461,577","276,523,799,983","233,244,661,594","194,680,326.80","-4,364,852,437","9,925,647,364","-14,290,499,801",-2.8,"30,674,992,195","-2,280,599,253","1,093,573,394","173,706,815","31,688,311,239","16,384,492,394","-1,164,527,780","-1,199,627,780",,,,,"35,100,000","15,219,964,614","15,219,964,614",2.99,0,,"15,219,964,614",-7.4,"732,009,866","1,931,637,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,3,상반기,1분기,IS(별도),계획,"383,538,951,428","162,985,889,806","220,553,061,622",,"27,106,867,168","15,094,438,656","12,012,428,511",3.13,"3,429,771,135",,,,"3,429,771,135","15,442,199,646","-1,491,540,880","-1,491,540,880",,,,,,"13,950,658,766",,3.64,"788,470,060",,"13,162,188,706",6.04,"496,352,855","1,987,893,735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,3,상반기,1분기,IS(별도),실적,"677,363,929,673","340,701,059,044","336,662,870,629","276,540,825.30","-692,826,082","10,750,862,789","-11,443,688,871",-1.69,"30,287,355,663","-5,305,696,185","2,197,060,863","-112,891,648","33,508,882,633","18,843,666,792","-1,271,633,747","-1,552,055,358",,,,,"280,421,611","17,572,033,045","17,572,033,045",2.59,"324,748",,"17,571,708,297",-5.47,"539,947,017","2,092,002,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,4,상반기,2분기,IS(별도),계획,"434,951,598,399","221,985,854,648","212,965,743,751",,"19,200,792,496","10,393,430,337","8,807,362,158",2.02,"3,713,171,575",,,,"3,713,171,575","12,520,533,734","-1,321,113,569","-1,321,113,569",,,,,,"11,199,420,165",,2.57,"2,002,361,573",,"9,197,058,592",4.9,"477,538,865","1,798,652,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,4,상반기,2분기,IS(별도),실적,"800,496,094,078","263,972,418,120","536,523,675,958","438,686,223.30","40,431,559,784","11,469,413,698","28,962,146,086",3.62,"-34,814,783,437","-5,166,765,894","-33,279,235,239","70,303,127","3,560,914,569","-5,852,637,351","204,862,717","-1,806,037,283",,,,,"2,010,900,000","-5,647,774,634","-5,647,774,634",-0.71,"17,086,825,271",,"-22,734,599,905",13.68,"310,418,567","2,116,455,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,5,상반기,2분기,IS(별도),계획,"413,590,808,285","209,435,012,185","204,155,796,100",,"17,452,606,151","11,951,260,197","5,501,345,954",1.33,"4,277,949,363",,,,"4,277,949,363","9,779,295,317","-1,353,681,823","-1,353,681,823",,,,,,"8,425,613,494",,2.04,"1,728,915,088",,"6,696,698,406",3,"477,243,102","1,830,924,925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,5,상반기,2분기,IS(별도),실적,"586,223,162,685","321,933,835,993","264,289,326,692","205,088,003.90","30,174,555,131","12,764,401,903","17,410,153,228",2.97,"63,316,688,348","-21,236,617,045","35,918,897,177","-87,408,548","48,721,816,764","80,726,841,576","-2,659,315,310","-1,691,215,310",,,,,"-968,100,000","78,067,526,266","78,067,526,266",13.32,0,,"78,067,526,266",7.47,"640,448,010","2,331,663,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
