그룹,4개사,11개사,CIC,회사,year,month,반기,분기,계정,항목,매출액_합계,국내_매출액,해외_매출액,해외_매출액_Million_USD,매출총이익,판매관리비,영업이익,영업이익률,기타영업손익_합계,기타영업손익_환관련실현손익,기타영업손익_환관련평가손익,기타영업손익_자산처분손익,기타영업손익_기타,조정영업이익,영업외손익_합계,영업외손익_순지급이자,영업외손익_환관련실현손익,영업외손익_환관련평가손익,영업외손익_지분법손익,영업외손익_자산처분손익,영업외손익_기타,세전이익,검증,세전이익률,법인세,중단사업손익,당기순이익,당기순이익_지배주주손익,당기순이익_비지배주주손익,영업이익_이자보상배율,수입이자,지급이자,EBITDA,환율(원/달러),동가(달러/톤),유동자산_합계,유동자산_현/예금,유동자산_재고자산,유동자산_매출채권,유동자산_   (미청구공사),유동자산_기타유동자산,비유동자산_합계,비유동자산_투자자산,비유동자산_유형자산,비유동자산_무형자산,비유동자산_기타비유동자산,자산_합계,부채_합계,부채_매입채무,부채_차입금,부채_기타부채,자기자본_합계,자기자본_자본금,자기자본_자본잉여금,자기자본_기타자본구성요소,자기자본_기타포괄손익누계액,자기자본_이익잉여금,자기자본_비지배주주지분,관리지표_부채비율(%),관리지표_운전자산회전일,관리지표_재고회전일,관리지표_차입금비율(%),관리지표_채권회전일
Y,N,Y,N,E1,2022,1,상반기,1분기,IS(연결),계획,"427,800,630,906","201,131,706,548","226,668,924,358",,"21,907,188,994","15,253,647,416","6,653,541,578",1.56,"2,733,118,004",0,0,0,"2,733,118,004","9,386,659,582","-1,205,394,259","-1,492,060,926",0,0,"286,666,667",0,0,"8,181,265,323",,1.91,"1,979,866,208",,"6,201,399,115",,,3.35,"493,582,363","1,985,643,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,1,상반기,1분기,IS(연결),실적,"578,770,353,331","348,524,513,300","230,245,840,031","192,834,096.90","42,889,246,500","10,723,940,253","32,165,306,247",5.56,"6,693,678,426","-1,818,190,433","-5,791,019,917","-54,348,245","14,357,237,021","38,858,984,673","-581,499,493","-1,340,852,920",0,0,"268,253,427",0,"491,100,000","38,277,485,179","38,277,485,179",6.61,"31,793,922",,"38,245,691,257","38,245,691,257",,16.38,"623,356,749","1,964,209,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,2,상반기,1분기,IS(연결),계획,"400,482,701,635","178,253,436,993","222,229,264,642",,"19,684,849,335","10,642,822,169","9,042,027,167",2.26,"3,344,596,819",0,0,0,"3,344,596,819","12,386,623,986","-1,294,363,615","-1,581,030,282",0,0,"286,666,667",0,0,"11,092,260,371",,2.77,"2,684,327,010",,"8,407,933,361",,,4.36,"491,366,350","2,072,396,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,2,상반기,1분기,IS(연결),실적,"512,813,967,663","279,569,306,069","233,244,661,594","194,680,326.80","-4,014,076,934","10,231,906,631","-14,245,983,565",-2.78,"30,691,665,235","-2,280,599,253","1,093,573,394","173,706,815","31,704,984,279","16,445,681,670","-883,468,514","-1,186,888,870",0,0,"268,320,356",0,"35,100,000","15,562,213,156","15,562,213,156",3.03,"29,281,107",,"15,532,932,049","15,532,932,049",,-7.38,"744,748,776","1,931,637,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,3,상반기,1분기,IS(연결),계획,"386,575,534,761","166,022,473,139","220,553,061,622",,"27,884,307,083","15,517,378,571","12,366,928,511",3.2,"3,254,771,135",0,0,0,"3,254,771,135","15,621,699,646","-1,256,874,213","-1,543,540,880",0,0,"286,666,667",0,0,"14,364,825,433",,3.72,"888,698,393",,"13,476,127,040",,,6.01,"514,686,188","2,058,227,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,3,상반기,1분기,IS(연결),실적,"681,202,283,053","338,493,471,457","342,708,811,596","281,558,411.90","-193,077,933","11,352,308,913","-11,545,386,846",-1.69,"30,362,436,297","-9,204,793,937","1,063,320,166","-151,378,921","38,655,288,989","18,817,049,451","-977,065,699","-1,633,886,318",0,0,"265,272,391",0,"391,548,228","17,839,983,752","17,839,983,752",2.62,"37,750,963",,"17,802,232,789","17,863,307,818",,-4.91,"718,988,768","2,352,875,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,4,상반기,2분기,IS(연결),계획,"437,988,181,732","225,022,437,981","212,965,743,751",,"19,978,232,411","10,816,370,252","9,161,862,158",2.09,"3,538,171,575",0,0,0,"3,538,171,575","12,700,033,734","-1,086,446,902","-1,373,113,569",0,0,"286,666,667",0,0,"11,613,586,832",,2.65,"2,102,589,906",,"9,510,996,926",,,4.9,"495,872,198","1,868,985,767",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,4,상반기,2분기,IS(연결),실적,"803,034,256,244","399,205,003,059","403,829,253,185","329,185,258.70","41,048,658,207","11,876,069,972","29,172,588,235",3.63,"-34,794,818,597","-6,433,654,160","-35,891,580,206","70,303,127","7,460,112,642","-5,622,230,362","346,733,792","-1,669,613,964",0,0,"4,784,658",0,"2,011,563,098","-5,275,496,570","-5,275,496,570",-0.66,"17,041,372,385",0,"-22,316,868,955","-22,377,943,984",0,13.78,"446,667,496","2,116,281,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,5,상반기,2분기,IS(연결),계획,"416,627,391,618","212,471,595,518","204,155,796,100",,"18,230,046,066","12,374,200,112","5,855,845,954",1.41,"4,102,949,363",0,0,0,"4,102,949,363","9,958,795,317","-1,119,015,156","-1,405,681,823",0,0,"286,666,667",0,0,"8,839,780,161",,2.12,"1,829,143,422",,"7,010,636,739",,,3.08,"495,576,435","1,901,258,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,5,상반기,2분기,IS(연결),실적,"588,870,601,503","278,830,938,780","310,039,662,723","243,485,684.30","30,499,017,805","13,011,274,713","17,487,743,092",2.97,"63,327,419,410","-17,196,335,589","38,052,165,504","-87,408,548","42,558,998,043","80,815,162,502","-2,635,114,441","-1,676,106,664",0,0,"7,985,522",0,"-966,993,299","78,180,048,061","78,180,048,061",13.28,"16,180,116",0,"78,163,867,945","78,163,867,945",0,7.5,"655,556,656","2,331,663,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,6,상반기,2분기,IS(연결),계획,"402,164,565,351","203,920,536,522","198,244,028,829",,"15,559,866,194","18,670,067,753","-3,110,201,559",-0.77,"3,593,428,036",0,0,0,"3,593,428,036","483,226,477","-1,036,990,229","-1,323,656,896",0,0,"286,666,667",0,0,"-553,763,752",,-0.14,"11,510,502",,"-565,274,254",,,-1.69,"515,984,778","1,839,641,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,6,상반기,2분기,IS(연결),실적,"630,725,829,424","291,211,541,763","339,514,287,661","266,506,839.30","24,976,573,151","17,851,977,597","7,124,595,554",1.13,"-74,085,250,084","-7,736,393,169","-26,074,853,469","12,495,063","-40,286,498,509","-66,960,654,530","754,519,457","-2,099,945,529",0,0,"837,153,315",0,"2,017,311,671","-66,206,135,073","-66,206,135,073",-10.5,"3,253,721,379",0,"-69,459,856,452","-66,526,754,242",0,2.54,"700,339,509","2,800,285,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,7,하반기,3분기,IS(연결),계획,"461,453,239,334","223,143,315,866","238,309,923,468",,"17,129,555,535","11,834,608,198","5,294,947,338",1.15,"3,432,931,240",0,0,0,"3,432,931,240","8,727,878,578","-1,131,470,330","-1,418,136,997",0,0,"286,666,667",0,0,"7,596,408,248",,1.65,"2,102,442,123",,"5,493,966,125",,,2.77,"496,798,179","1,914,935,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,7,하반기,3분기,IS(연결),실적,"726,672,883,201","333,742,607,716","392,930,275,485","302,523,764.00","52,050,603,643","12,276,379,718","39,774,223,925",5.47,"-32,763,776,311","-9,157,885,798","6,621,008,449","171,715,875","-30,398,614,837","7,010,447,614","-293,900,972","-1,996,334,773",0,0,0,"976,362,503","726,071,298","6,716,546,642","6,716,546,642",0.92,"-4,235,026",0,"6,720,781,668","3,787,679,458",0,14.1,"825,095,700","2,821,430,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,8,하반기,3분기,IS(연결),계획,"414,543,148,804","218,420,057,990","196,123,090,814",,"16,197,517,020","10,543,792,581","5,653,724,439",1.36,"3,452,028,891",0,0,0,"3,452,028,891","9,105,753,330","-1,360,218,154","-1,646,884,821",0,0,"286,666,667",0,0,"7,745,535,176",,1.87,"2,161,975,609",,"5,583,559,567",,,2.64,"497,246,877","2,144,131,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,8,하반기,3분기,IS(연결),실적,"615,890,260,317","328,998,968,444","286,891,291,873","214,365,644.10","46,224,599,377","11,559,382,664","34,665,216,713",5.63,"38,788,473,318","-6,720,704,750","-27,461,252,014","-34,970,820","73,005,400,902","73,453,690,031","-567,189,546","-2,220,440,292",0,0,0,0,"1,653,250,746","72,886,500,485","72,886,500,485",11.83,0,0,"72,886,500,485","72,886,500,485",0,10.16,"1,190,662,862","3,411,103,154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,9,하반기,3분기,IS(연결),계획,"409,364,942,529","214,151,508,234","195,213,434,295",,"14,928,654,387","13,161,905,105","1,766,749,282",0.43,"3,311,124,525",0,0,0,"3,311,124,525","5,077,873,807","-1,177,010,921","-1,463,677,588",0,0,"286,666,667",0,0,"3,900,862,886",,0.95,"1,418,114,018",,"2,482,748,868",,,0.89,"517,120,535","1,980,798,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,9,하반기,3분기,IS(연결),실적,"590,784,389,187","294,576,125,208","296,208,263,979","209,561,170.50","65,666,002,902","13,427,885,453","52,238,117,449",8.84,"-96,992,696,253","-28,100,047,844","-32,186,131,855","60,615,993","-36,767,132,547","-44,754,578,804","1,276,838,675","-3,147,600,227",0,0,"899,428,177","478,510,142","3,046,500,583","-43,477,740,129","-43,477,740,129",-7.36,"11,752,781,149",0,"-55,230,521,278","-55,230,521,278",0,12.81,"930,969,595","4,078,569,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,10,하반기,4분기,IS(연결),계획,"415,572,787,162","220,638,600,416","194,934,186,746",,"16,278,216,664","11,911,855,310","4,366,361,355",1.05,"3,292,081,395",0,0,0,"3,292,081,395","7,658,442,750","-1,144,459,973","-1,431,126,640",0,0,"286,666,667",0,0,"6,513,982,777",,1.57,"1,964,423,317",,"4,549,559,460",,,2.26,"497,254,277","1,928,380,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,10,하반기,4분기,IS(연결),실적,"639,199,472,602","273,701,708,406","365,497,764,196","259,016,123.70","48,728,359,141","10,971,864,264","37,756,494,877",5.91,"72,757,569,100","-28,210,231,313","37,832,863,972","-89,046,607","63,223,983,048","110,514,063,977","-2,944,125,968","-2,512,926,157",0,0,0,0,"-431,199,811","107,569,938,009","107,569,938,009",16.83,"15,956,471",0,"107,553,981,538","107,553,981,538",0,10.49,"1,085,155,251","3,598,081,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
