그룹,4개사,11개사,CIC,회사,year,month,반기,분기,계정,항목,동관 매출액,동관 매출액 누계,동관 매출액(국내),동관 매출액(국내) 누계,동관 매출액(해외),동관 매출액(해외) 누계,동관 영업이익,동관 영업이익 누계,동관 영업이익(국내),동관 영업이익(국내) 누계,동관 영업이익(해외),동관 영업이익(해외) 누계,동관 조정영업이익,동관 조정영업이익 누계,동관 세전이익,동관 세전이익 누계,장항STS 매출액,장항STS 매출액 누계,장항STS 매출액(국내),장항STS 매출액(국내) 누계,장항STS 매출액(해외),장항STS 매출액(해외) 누계,장항STS 영업이익,장항STS 영업이익 누계,장항STS 영업이익(국내),장항STS 영업이익(국내) 누계,장항STS 영업이익(해외),장항STS 영업이익(해외) 누계,장항STS 조정영업이익,장항STS 조정영업이익 누계,장항STS 세전이익,장항STS 세전이익 누계,부산STS 매출액,부산STS 매출액 누계,부산STS 매출액(국내),부산STS 매출액(국내) 누계,부산STS 매출액(해외),부산STS 매출액(해외) 누계,부산STS 영업이익,부산STS 영업이익 누계,부산STS 영업이익(국내),부산STS 영업이익(국내) 누계,부산STS 영업이익(해외),부산STS 영업이익(해외) 누계,부산STS 조정영업이익,부산STS 조정영업이익 누계,부산STS 세전이익,부산STS 세전이익 누계,기타 매출액,기타 매출액 누계,기타 매출액(국내),기타 매출액(국내) 누계,기타 매출액(해외),기타 매출액(해외) 누계,기타 영업이익,기타 영업이익 누계,기타 영업이익(국내),기타 영업이익(국내) 누계,기타 영업이익(해외),기타 영업이익(해외) 누계,기타 조정영업이익,기타 조정영업이익 누계,기타 세전이익,기타 세전이익 누계,합계 매출액,합계 매출액 누계,합계 매출액(국내),합계 매출액(국내) 누계,합계 매출액(해외),합계 매출액(해외) 누계,합계 영업이익,합계 영업이익 누계,합계 영업이익(국내),합계 영업이익(국내) 누계,합계 영업이익(해외),합계 영업이익(해외) 누계,합계 조정영업이익,합계 조정영업이익 누계,합계 세전이익,합계 세전이익 누계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,N,N,메탈,2024,1,상반기,1분기, 사업별손익,계획,34591838906,34591838906,16191514586,16191514586,18400324320,18400324320,342456525,342456525,342456525,342456525,0,0,469895160,469895160,466895160,466895160,1829700000,1829700000,1829700000,1829700000,0,0,0,0,0,0,0,0,0,0,0,0,4406324000,4406324000,3881383000,3881383000,524941000,524941000,93239949,93239949,93239949,93239949,0,0,93239949,93239949,93239949,93239949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40827862906,40827862906,21902597586,21902597586,18925265320,18925265320,423828311,423828311,423828311,423828311,0,0,551266946,551266946,548266946,548266946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,N,N,메탈,2024,1,상반기,1분기, 사업별손익,실적,30985654984,30985654984,14385355015,14385355015,16600299969,16600299969,385301158,385301158,385301158,385301158,0,0,1276887910,1276887910,1331612456,1331612456,1959416809,1959416809,1959416809,1959416809,0,0,0,0,0,0,0,0,0,0,0,0,7070571783,7070571783,5148366764,5148366764,1922205019,1922205019,288301323,288301323,288301323,288301323,0,0,356152171,356152171,401627970,401627970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40015643576,40015643576,21493138588,21493138588,18522504988,18522504988,638913827,638913827,638913827,638913827,0,0,1598351427,1598351427,1698551772,1698551772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,N,N,메탈,2024,2,상반기,1분기, 사업별손익,계획,34367446888,68959285794,16228054168,32419568754,18139392720,36539717040,0,238859088,0,238859088,0,0,26692397,496587557,23692397,490587557,1829700000,3659400000,1829700000,3659400000,0,0,0,0,0,0,0,0,0,0,0,0,4906337000,9312661000,4345890500,8227273500,560446500,1085387500,70759654,163999603,70759654,163999603,0,0,70759654,163999603,70759654,163999603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41103483888,81931346794,22403644668,44306242254,18699839220,37625104540,0,379294590,0,379294590,0,0,85756112,637023059,82756112,631023059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,N,N,메탈,2024,2,상반기,1분기, 사업별손익,실적,29159366180,60145021164,11878363209,26263718224,17281002971,33881302940,0,383534898,0,383534898,0,0,164468544,1441356454,221178278,1552790734,1756910439,3716327248,1756910439,3716327248,0,0,0,0,0,0,0,0,0,0,0,0,7859965120,14930536903,3958090778,9106457542,3901874342,5824079361,510715311,799016634,510715311,799016634,0,0,483680624,839832795,527602382,929230352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38776241739,78791885315,17593364426,39086503014,21182877313,39705382301,449163878,1088077705,449163878,1088077705,0,0,588363995,2186715422,688995487,2387547259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,N,N,메탈,2024,3,상반기,1분기, 사업별손익,계획,32840815472,1.018E+11,17002334452,49421903206,15838481020,52378198060,400628068,639487156,400628068,639487156,0,0,520409508,1016997065,517409508,1007997065,2236300000,5895700000,2236300000,5895700000,0,0,10855221,0,10855221,0,0,0,10855221,0,10855221,0,9829761200,19142422200,5701660000,13928933500,4128101200,5213488700,238721178,402720781,238721178,402720781,0,0,238721178,402720781,238721178,402720781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44906876672,1.26838E+11,24940294452,69246536706,19966582220,57591686760,650204466,1029499056,650204466,1029499056,0,0,769985906,1407008965,766985906,1398008965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,N,N,메탈,2024,3,상반기,1분기, 사업별손익,실적,32302387450,92447408614,13780973141,40044691365,18521414309,52402717249,0,0,0,0,0,0,0,698400579,0,874058767,1769416010,5485743258,1769416010,5485743258,0,0,0,0,0,0,0,0,0,0,0,0,6727121533,21657658436,3957021584,13063479126,2770099949,8594179310,793272684,1592289318,793272684,1592289318,0,0,640653847,1480486642,689232287,1618462639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40798924993,1.19591E+11,19507410735,58593913749,21291514258,60996896559,0,906239999,0,906239999,0,0,0,2051205160,0,2364839345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,N,N,메탈,2024,4,상반기,2분기, 사업별손익,계획,33230033610,1.3503E+11,18535634690,67957537896,14694398920,67072596980,531997987,1171485143,531997987,1171485143,0,0,638520038,1655517103,635520038,1643517103,2236300000,8132000000,2236300000,8132000000,0,0,11711486,0,11711486,0,0,0,11711486,0,11711486,0,10799434000,29941856200,4884966000,18813899500,5914468000,11127956700,467755635,870476416,467755635,870476416,0,0,467755635,870476416,467755635,870476416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46265767610,1.73104E+11,25656900690,94903437396,20608866920,78200553680,1011465108,2040964163,1011465108,2040964163,0,0,1117987159,2524996123,1114987159,2512996123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,N,N,메탈,2024,4,상반기,2분기, 사업별손익,실적,31404719607,1.23852E+11,14840847468,54885538833,16563872139,68966589388,329815578,0,329815578,0,0,0,943946495,1642347074,1028161022,1902219789,1569362187,7055105445,1569362187,7055105445,0,0,0,0,0,0,0,0,0,0,0,0,10247149854,31904808290,6843173819,19906652945,3403976035,11998155345,612721400,2205010718,612721400,2205010718,0,0,323489691,1803976333,386975371,2005438010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43221231648,1.62812E+11,23253383474,81847297223,19967848174,80964744733,930795450,1837035449,930795450,1837035449,0,0,1255694658,3306899818,1403394865,3768234210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,N,N,메탈,2024,5,상반기,2분기, 사업별손익,계획,33232906447,1.68263E+11,18733558227,86691096123,14499348220,81571945200,627949662,1799434804,627949662,1799434804,0,0,730892371,2386409473,727892371,2371409473,2236300000,10368300000,2236300000,10368300000,0,0,11869809,10872414,11869809,10872414,0,0,11869809,10872414,11869809,10872414,8397003000,38338859200,7555382000,26369281500,841621000,11969577700,377636516,1248112932,377636516,1248112932,0,0,377636516,1248112932,377636516,1248112932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43866209447,2.1697E+11,28525240227,1.23429E+11,15340969220,93541522900,1017455986,3058420150,1017455986,3058420150,0,0,1120398695,3645394819,1117398695,3630394819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,N,N,메탈,2024,5,상반기,2분기, 사업별손익,실적,37888527262,1.61741E+11,17925853108,72811391941,19962674154,88929263542,771207219,542655539,771207219,542655539,0,0,548238543,2190585617,613686443,2515906232,2618181100,9673286545,2618181100,9673286545,0,0,23348449,0,23348449,0,0,0,23348449,0,23348449,0,8741813641,40646621931,7261063319,27167716264,1480750322,13478905667,673676686,2878687404,673676686,2878687404,0,0,977835274,2781811607,1027830230,3033268240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49248522003,2.12061E+11,27805097527,1.09652E+11,21443424476,1.02408E+11,1468232354,3305267803,1468232354,3305267803,0,0,1549422266,4856322084,1664865122,5433099332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
