그룹,4개사,11개사,CIC,회사,년월,year,month,반기,분기,계정,항목,트랙터 매출액,트랙터 매출액 누계,트랙터 매출액(국내),트랙터 매출액(국내) 누계,트랙터 매출액(해외),트랙터 매출액(해외) 누계,트랙터 영업이익,트랙터 영업이익 누계,트랙터 영업이익(국내),트랙터 영업이익(국내) 누계,트랙터 영업이익(해외),트랙터 영업이익(해외) 누계,트랙터 조정영업이익,트랙터 조정영업이익 누계,트랙터 세전이익,트랙터 세전이익 누계,사출 매출액,사출 매출액 누계,사출 매출액(국내),사출 매출액(국내) 누계,사출 매출액(해외),사출 매출액(해외) 누계,사출 영업이익,사출 영업이익 누계,사출 영업이익(국내),사출 영업이익(국내) 누계,사출 영업이익(해외),사출 영업이익(해외) 누계,사출 조정영업이익,사출 조정영업이익 누계,사출 세전이익,사출 세전이익 누계,특수 매출액,특수 매출액 누계,특수 매출액(국내),특수 매출액(국내) 누계,특수 매출액(해외),특수 매출액(해외) 누계,특수 영업이익,특수 영업이익 누계,특수 영업이익(국내),특수 영업이익(국내) 누계,특수 영업이익(해외),특수 영업이익(해외) 누계,특수 조정영업이익,특수 조정영업이익 누계,특수 세전이익,특수 세전이익 누계,전자부품 매출액,전자부품 매출액 누계,전자부품 매출액(국내),전자부품 매출액(국내) 누계,전자부품 매출액(해외),전자부품 매출액(해외) 누계,전자부품 영업이익,전자부품 영업이익 누계,전자부품 영업이익(국내),전자부품 영업이익(국내) 누계,전자부품 영업이익(해외),전자부품 영업이익(해외) 누계,전자부품 조정영업이익,전자부품 조정영업이익 누계,전자부품 세전이익,전자부품 세전이익 누계,CF 매출액,CF 매출액 누계,CF 매출액(국내),CF 매출액(국내) 누계,CF 매출액(해외),CF 매출액(해외) 누계,CF 영업이익,CF 영업이익 누계,CF 영업이익(국내),CF 영업이익(국내) 누계,CF 영업이익(해외),CF 영업이익(해외) 누계,CF 조정영업이익,CF 조정영업이익 누계,CF 세전이익,CF 세전이익 누계,FCCL 매출액,FCCL 매출액 누계,FCCL 매출액(국내),FCCL 매출액(국내) 누계,FCCL 매출액(해외),FCCL 매출액(해외) 누계,FCCL 영업이익,FCCL 영업이익 누계,FCCL 영업이익(국내),FCCL 영업이익(국내) 누계,FCCL 영업이익(해외),FCCL 영업이익(해외) 누계,FCCL 조정영업이익,FCCL 조정영업이익 누계,FCCL 세전이익,FCCL 세전이익 누계,자동차부품 매출액,자동차부품 매출액 누계,자동차부품 매출액(국내),자동차부품 매출액(국내) 누계,자동차부품 매출액(해외),자동차부품 매출액(해외) 누계,자동차부품 영업이익,자동차부품 영업이익 누계,자동차부품 영업이익(국내),자동차부품 영업이익(국내) 누계,자동차부품 영업이익(해외),자동차부품 영업이익(해외) 누계,자동차부품 조정영업이익,자동차부품 조정영업이익 누계,자동차부품 세전이익,자동차부품 세전이익 누계,UC 매출액,UC 매출액 누계,UC 매출액(국내),UC 매출액(국내) 누계,UC 매출액(해외),UC 매출액(해외) 누계,UC 영업이익,UC 영업이익 누계,UC 영업이익(국내),UC 영업이익(국내) 누계,UC 영업이익(해외),UC 영업이익(해외) 누계,UC 조정영업이익,UC 조정영업이익 누계,UC 세전이익,UC 세전이익 누계,기타 매출액,기타 매출액 누계,기타 매출액(국내),기타 매출액(국내) 누계,기타 매출액(해외),기타 매출액(해외) 누계,기타 영업이익,기타 영업이익 누계,기타 영업이익(국내),기타 영업이익(국내) 누계,기타 영업이익(해외),기타 영업이익(해외) 누계,기타 조정영업이익,기타 조정영업이익 누계,기타 세전이익,기타 세전이익 누계,합계 매출액,합계 매출액 누계,합계 매출액(국내),합계 매출액(국내) 누계,합계 매출액(해외),합계 매출액(해외) 누계,합계 영업이익,합계 영업이익 누계,합계 영업이익(국내),합계 영업이익(국내) 누계,합계 영업이익(해외),합계 영업이익(해외) 누계,합계 조정영업이익,합계 조정영업이익 누계,합계 세전이익,합계 세전이익 누계
Y,Y,Y,N,엠트론,201212,2012,12,하반기,4분기, 사업별손익,계획,3.43E+11,3.43E+11,3.43E+11,3.43E+11,0,0,22000000000,22000000000,22000000000,22000000000,0,0,0,0,18575070939,18575070939,1.50E+11,1.50E+11,1.50E+11,1.50E+11,0,0,12000000000,12000000000,12000000000,12000000000,0,0,0,0,10034372110,10034372110,53000000000,53000000000,53000000000,53000000000,0,0,3800000000,3800000000,3800000000,3800000000,0,0,0,0,3437425948,3437425948,1.10E+11,1.10E+11,1.10E+11,1.10E+11,0,0,10000000000,10000000000,10000000000,10000000000,0,0,0,0,9026505480,9026505480,1.95E+11,1.95E+11,1.95E+11,1.95E+11,0,0,13000000000,13000000000,13000000000,13000000000,0,0,0,0,9821950729,9821950729,29000000000,29000000000,29000000000,29000000000,0,0,0,0,0,0,0,0,0,0,0,0,95000000000,95000000000,95000000000,95000000000,0,0,8000000000,8000000000,8000000000,8000000000,0,0,0,0,7266897761,7266897761,25000000000,25000000000,25000000000,25000000000,0,0,1700000000,1700000000,1700000000,1700000000,0,0,0,0,1304480745,1304480745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+12,1.00E+12,1.00E+12,1.00E+12,0,0,67000000000,67000000000,67000000000,67000000000,0,0,0,0,55275223565,55275223565
Y,Y,Y,N,엠트론,201301,2013,1,상반기,1분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,엠트론,201302,2013,2,상반기,1분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,엠트론,201303,2013,3,상반기,1분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,엠트론,201304,2013,4,상반기,2분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,엠트론,201305,2013,5,상반기,2분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,엠트론,201306,2013,6,상반기,2분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,엠트론,201307,2013,7,하반기,3분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,엠트론,201308,2013,8,하반기,3분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,엠트론,201309,2013,9,하반기,3분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
