그룹,4개사,11개사,CIC,회사,year,month,반기,분기,계정,항목,피복선 매출액,피복선 매출액 누계,피복선 매출액(국내),피복선 매출액(국내) 누계,피복선 매출액(해외),피복선 매출액(해외) 누계,피복선 영업이익,피복선 영업이익 누계,피복선 영업이익(국내),피복선 영업이익(국내) 누계,피복선 영업이익(해외),피복선 영업이익(해외) 누계,피복선 조정영업이익,피복선 조정영업이익 누계,피복선 세전이익,피복선 세전이익 누계,소재 매출액,소재 매출액 누계,소재 매출액(국내),소재 매출액(국내) 누계,소재 매출액(해외),소재 매출액(해외) 누계,소재 영업이익,소재 영업이익 누계,소재 영업이익(국내),소재 영업이익(국내) 누계,소재 영업이익(해외),소재 영업이익(해외) 누계,소재 조정영업이익,소재 조정영업이익 누계,소재 세전이익,소재 세전이익 누계,초고압 매출액,초고압 매출액 누계,초고압 매출액(국내),초고압 매출액(국내) 누계,초고압 매출액(해외),초고압 매출액(해외) 누계,초고압 영업이익,초고압 영업이익 누계,초고압 영업이익(국내),초고압 영업이익(국내) 누계,초고압 영업이익(해외),초고압 영업이익(해외) 누계,초고압 조정영업이익,초고압 조정영업이익 누계,초고압 세전이익,초고압 세전이익 누계,해양 매출액,해양 매출액 누계,해양 매출액(국내),해양 매출액(국내) 누계,해양 매출액(해외),해양 매출액(해외) 누계,해양 영업이익,해양 영업이익 누계,해양 영업이익(국내),해양 영업이익(국내) 누계,해양 영업이익(해외),해양 영업이익(해외) 누계,해양 조정영업이익,해양 조정영업이익 누계,해양 세전이익,해양 세전이익 누계,동통신 매출액,동통신 매출액 누계,동통신 매출액(국내),동통신 매출액(국내) 누계,동통신 매출액(해외),동통신 매출액(해외) 누계,동통신 영업이익,동통신 영업이익 누계,동통신 영업이익(국내),동통신 영업이익(국내) 누계,동통신 영업이익(해외),동통신 영업이익(해외) 누계,동통신 조정영업이익,동통신 조정영업이익 누계,동통신 세전이익,동통신 세전이익 누계,광통신 매출액,광통신 매출액 누계,광통신 매출액(국내),광통신 매출액(국내) 누계,광통신 매출액(해외),광통신 매출액(해외) 누계,광통신 영업이익,광통신 영업이익 누계,광통신 영업이익(국내),광통신 영업이익(국내) 누계,광통신 영업이익(해외),광통신 영업이익(해외) 누계,광통신 조정영업이익,광통신 조정영업이익 누계,광통신 세전이익,광통신 세전이익 누계,신소재 매출액,신소재 매출액 누계,신소재 매출액(국내),신소재 매출액(국내) 누계,신소재 매출액(해외),신소재 매출액(해외) 누계,신소재 영업이익,신소재 영업이익 누계,신소재 영업이익(국내),신소재 영업이익(국내) 누계,신소재 영업이익(해외),신소재 영업이익(해외) 누계,신소재 조정영업이익,신소재 조정영업이익 누계,신소재 세전이익,신소재 세전이익 누계,이음쇠 매출액,이음쇠 매출액 누계,이음쇠 매출액(국내),이음쇠 매출액(국내) 누계,이음쇠 매출액(해외),이음쇠 매출액(해외) 누계,이음쇠 영업이익,이음쇠 영업이익 누계,이음쇠 영업이익(국내),이음쇠 영업이익(국내) 누계,이음쇠 영업이익(해외),이음쇠 영업이익(해외) 누계,이음쇠 조정영업이익,이음쇠 조정영업이익 누계,이음쇠 세전이익,이음쇠 세전이익 누계,기타 매출액,기타 매출액 누계,기타 매출액(국내),기타 매출액(국내) 누계,기타 매출액(해외),기타 매출액(해외) 누계,기타 영업이익,기타 영업이익 누계,기타 영업이익(국내),기타 영업이익(국내) 누계,기타 영업이익(해외),기타 영업이익(해외) 누계,기타 조정영업이익,기타 조정영업이익 누계,기타 세전이익,기타 세전이익 누계,합계 매출액,합계 매출액 누계,합계 매출액(국내),합계 매출액(국내) 누계,합계 매출액(해외),합계 매출액(해외) 누계,합계 영업이익,합계 영업이익 누계,합계 영업이익(국내),합계 영업이익(국내) 누계,합계 영업이익(해외),합계 영업이익(해외) 누계,합계 조정영업이익,합계 조정영업이익 누계,합계 세전이익,합계 세전이익 누계
Y,N,N,N,가온,2024,1,상반기,1분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,N,N,N,가온,2024,1,상반기,1분기, 사업별손익,실적,73071352012,73071352012,64330124157,64330124157,8741227855,8741227855,381822576,381822576,0,0,880869930,880869930,0,0,203648490,203648490,32245633027,32245633027,32245633027,32245633027,0,0,196053951,196053951,196053951,196053951,0,0,21355376,21355376,222630821,222630821,3646549926,3646549926,3646549926,3646549926,0,0,698201185,698201185,698201185,698201185,0,0,678445112,678445112,693191116,693191116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13593537766,13593537766,8306922969,8306922969,5286614797,5286614797,0,0,99980265,99980265,0,0,0,0,0,0,3100918649,3100918649,3100918649,3100918649,0,0,1555427205,1555427205,599541870,599541870,955885335,955885335,1538627222,1538627222,1561913484,1561913484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885481672,885481672,885481672,885481672,0,0,77092130,77092130,77092130,77092130,0,0,72294817,72294817,78075003,78075003,1229008712,1229008712,1229008712,1229008712,0,0,0,0,0,0,0,0,0,0,0,0,1.27772E+11,1.27772E+11,1.13745E+11,1.13745E+11,14027842652,14027842652,2795684311,2795684311,1171822046,1171822046,1623862264,1623862264,2110104206,2110104206,2399353816,2399353816
Y,N,N,N,가온,2024,2,상반기,1분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,N,N,N,가온,2024,2,상반기,1분기, 사업별손익,실적,60666091025,1.33737E+11,57291304344,1.21621E+11,3374786681,12116014536,918432649,1300255226,1040803392,541756038,0,758499188,1014165294,1000106013,745195346,948843836,30965182867,63210815894,30965182867,63210815894,0,0,132355522,328409473,132355522,328409473,0,0,181219373,202574748,153254626,375885447,8336610454,11983160380,8336610454,11983160380,0,0,699319949,1397521134,699319949,1397521134,0,0,712475334,1390920446,693612359,1386803475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12632097313,26225635079,9119578702,17426501671,3512518611,8799133408,186462120,73549384,549179141,649159406,0,0,206395893,19836853,216857200,0,1979427867,5080346516,1973491567,5074410216,5936300,5936300,680531205,2235958410,346392118,945933988,334139087,1290024422,683654793,2222282015,679962470,2241875954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656280755,1541762427,656280755,1541762427,0,0,30490418,107582548,30490418,107582548,0,0,31526046,103820863,30044291,108119295,1033704983,2262713695,1033704983,2262713695,0,0,0,0,0,0,0,0,0,0,0,0,1.16269E+11,2.44042E+11,1.09376E+11,2.23121E+11,6893241592,20921084244,2647591863,5443276174,2798540540,3970362586,0,1472913588,2829436732,4939540938,2518926292,4918280108
Y,N,N,N,가온,2024,3,상반기,1분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,N,N,N,가온,2024,3,상반기,1분기, 사업별손익,실적,74158893850,2.07896E+11,64455900418,1.86077E+11,9702993432,21819007968,5213362326,6513617552,3323712808,3865468846,1889649518,2648148706,5162349397,6162455409,4932912708,5881756543,34394763045,97605578939,34394763045,97605578939,0,0,0,295293427,0,295293427,0,0,0,145798997,0,368087002,1492067557,13475227937,1492067557,13475227937,0,0,90337572,1487858706,90337572,1487858706,0,0,89311198,1480231644,81228589,1468032064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13034132697,39259767776,8245434518,25671936189,4788698179,13587831587,254856426,328405810,180965821,830125227,73890605,0,245890417,265727271,175131999,31884101,1703008819,6783355335,1921007677,6995417893,0,0,34393401,2270351810,8568230,954502217,25825171,1315849593,33221923,2255503938,34975424,2276851377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680686505,2222448932,680686505,2222448932,0,0,40364367,147946915,40364367,147946915,0,0,39896132,143716995,40399478,148518773,1596040626,3858754321,1596040626,3858754321,0,0,0,0,0,0,0,0,0,0,0,0,1.2706E+11,3.71101E+11,1.12786E+11,3.35907E+11,14273692753,35194776997,5600198047,11043474220,3610832752,7581195338,1989365295,3462278882,5513893316,10453434254,5256849753,10175129860
Y,N,N,N,가온,2024,4,상반기,2분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,N,N,N,가온,2024,4,상반기,2분기, 사업별손익,실적,74322612222,2.82219E+11,70579844430,2.56657E+11,3742767792,25561775760,859549166,7373166718,1211071753,5076540599,0,2296626119,363703569,6526158978,597632920,6479389464,39055036514,1.36661E+11,39055036514,1.36661E+11,0,0,667958521,963251948,667958521,963251948,0,0,407401642,553200639,688355723,1056442725,2966432040,16441659977,2966432040,16441659977,0,0,53598178,1541456884,53598178,1541456884,0,0,33807536,1514039180,47223268,1515255332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14047680613,53307448389,9323792310,34995728499,4723888303,18311719890,233611702,562017512,119336788,949462014,114274914,0,139892168,405619438,99583218,131467319,1680552646,8463907981,1680552646,8675970539,0,0,188191634,2458543444,303737847,1258240064,0,1200303380,176979775,2432483713,184352029,2461203407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702069468,2924518400,702069468,2924518400,0,0,41298923,189245838,41298923,189245838,0,0,36615045,180332040,41108487,189627260,1245819331,5104573652,1245819331,5104573652,0,0,0,0,0,0,0,0,0,0,0,0,1.3402E+11,5.05122E+11,1.25554E+11,4.6146E+11,8466656095,43661433092,2044208125,13087682345,2397002010,9978197348,0,3109484997,1158399734,11611833988,1658255647,11833385507
Y,N,N,N,가온,2024,5,상반기,2분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,N,N,N,가온,2024,5,상반기,2분기, 사업별손익,실적,72831565647,3.55051E+11,65530405353,3.22188E+11,7301160294,32862936054,1890975128,9264141846,1299978537,6376519136,590996591,2887622710,2070345596,8596504574,1558856717,8038246180,36954541696,1.73615E+11,36954541696,1.73615E+11,0,0,191606900,1154858849,191606900,1154858849,0,0,282618996,835819635,205409877,1261852602,1019110954,17460770931,1019110954,17460770931,0,0,36988918,1578445803,36988918,1578445803,0,0,39498797,1553537977,26954733,1542210066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14595811808,67903260197,9533130731,44528859230,5062681077,23374400967,94028627,656046139,59248038,1008710052,34780590,0,129975371,535594809,115722608,247189927,2662301614,11126209595,2662301614,11338272153,0,0,343191631,2801735075,543000962,1801241026,0,1000494049,349748380,2782232093,355254901,2816458307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711029238,3635547638,711029238,3635547638,0,0,27296366,216542204,27296366,216542204,0,0,29047497,209379537,27141625,216768886,1225214950,6329788602,1225214950,6329788602,0,0,0,0,0,0,0,0,0,0,0,0,1.3E+11,6.35121E+11,1.17636E+11,5.79096E+11,12363841371,56025274463,2584087571,15671769916,2158119722,12136317070,425967849,3535452846,2901234637,14513068625,2289340461,14122725968
